february,-0.0190121875
frequencies,0.0165272727
locked,0.25
panel,-0.1074975
norton,0.25
boosted,0
investec,0.25
disappointed,0
showcase,0.0088225
gamble,0.02731
lima,0.2014688889
press,0.0103775
basic,0
tied,0
segregated,0
job,0.130025
saldarriaga,0.25
phrase,0.0072155
nia,0
talking,0.0165529762
jeeves,0
servers,0
libretto,-0.0067040909
rca,0.25
collins,0.2155258333
flexible,0
plugged,0
share,0.051015
mario,0.25
scarce,0.0094645833
principle,0.2193025
marks,0.1936075
economy,-0.2276483772
warnings,0
society,-0.2359784091
300,0
44,0
preventing,0
cold,0.01643425
brazilian,0.207715
withdrawal,0.1515175
agriculture,0
see,-0.222345
12,0.0958828571
whitbread,0.25
number,0.19301
laying,0.0844925
ernst,0.2464558333
mayland,0
earlier,0
infected,0
rhys,0.25
copies,0
operating,0
deteriorate,-0.0002883333
voice,0.05696125
lossless,0
wall,0.00642
testing,0.0140625
hyde,0.25
operate,0.027395
hanks,0.2336196429
flagship,0.093805
festival,0.123855
monaco,0.0252694643
conferences,0.0048091607
now,0.1013525
thank,0.05043
greene,0.248456
mike,0.2479128571
jessica,0.25
vivaldi,0.2367229167
shoulders,0.25
term,0.0070615
shortlisted,0.23029875
1776,0.25
legal,0
announced,0
makers,0.25
fare,0.0437425
respectable,0
given,0
curb,-0.0595692308
kim,0.25
suspected,0
chemistry,0
honour,0.1954925
demonising,0
telephone,0.0018181848
paved,-0.0145608333
wingfield,0.25
surprisngly,0
calico,0.24180875
vary,-0.2378973077
handset,-0.00654
optimism,-0.0075033333
specialist,-0.01272
anyhting,0
course,0
timeless,0.1096266667
patenting,0.2419965
speeds,-0.2467575
say,0
540m,0
board,0.2244575
alliance,0.2406875
announces,0
danger,0.1854
auschwitz,0.2286045833
emenating,0
kluft,0.25
blockbuster,0.21127
medallist,0.236903
took,0.25
ignorance,0.02014375
comptia,0.25
screenplay,-0.03610375
drove,0.239
injustice,0.00745625
choice,0.0172669643
smoking,0.2412091532
intelligence,-0.0092124679
weight,0.0226341667
threes,0.014754375
human,-0.0001639167
shamed,0
reducing,0.1777075
impact,0.159315
cunanan,0
organise,0.008905
1761,0.25
call,0.17354
talk,0.004245
osborne,0.2423964286
eu,-0.2419271667
corpus,0.0695275
watching,0.02252125
disguising,0
many,0
consumption,0.0285261667
rewards,0
gallery,0.1198425
transportation,0.04303625
governess,-0.0076869444
tougher,0
philosophy,0.2286175
holiday,0.0118041667
house,0.0160244444
barry,0.25
tune,0.0035685615
banning,0.01559
incurred,0
hak,0
hans,0.25
apologise,-0.0003625
topics,0.25
artist,0.0019706118
flew,0.25
price,0.21875
boosts,0
images,0.0021869318
gps,-0.016350625
setting,0.0221729167
introduced,0
customers,-0.003559375
magazine,0.2136685417
cellars,0.0669475
exists,0.0053589583
2000,0.25
tomas,0.25
irina,0.25
development,0.0528225
expansive,0
1986,0.25
refined,0.04060875
deny,0.000635
levels,0.25
bankash,0
surcharge,0.05887
prospect,0.2359471429
editor,0.0133650758
sheerman,0
translates,-0.0005464881
cd,0.4384975
gary,0.4225191667
similar,0
beneficial,0
3m,0
secs,-0.0360383882
grassroots,0
union,0.0006147917
sidelined,0
insults,-0.0186633333
deter,0.2203825
darling,0.47594
increased,0
capability,0.0119958333
explosives,-0.0076783333
features,0.25
india,-0.0021192411
phone,0.0018181848
oh,0.004155625
score,-0.0299925
stability,0.1998575
appeals,0.2307725
reported,0
enjoyment,0.242535
track,0.00489375
76m,0
fantasise,0.1953525
flaw,0.0171108333
awareness,0.196325
leadership,0.05353625
stewart,-0.00908375
authorial,0
acquisitions,-0.25
1940s,-0.03125
systematically,0
websidestory,0.25
feely,0.25
microsoft,0
surrender,-0.0061883333
research,-0.2456319444
breville,0.25
blame,0
ripe,0
proposition,0.125
curriculum,-0.19531625
throwing,0.0051213462
although,0.02695
sustainable,0
hinge,0.00707675
optic,0
enables,0
terrorist,0.235309
note,0.1036725
figures,0
iata,0.25
fairbanks,0.24342375
flaws,0.25
inspector,0.023745
holder,0.019108
yet,0
glow,0.10715
corporate,0.002591994
downloaders,0
journal,-0.1717775
marie,0.25
procedures,0
determination,0.0203875
compiled,-0.2151011404
tradition,0.20582
despatch,0.04614125
crops,0.0095511111
flash,0.17926
rabbi,0.2199116477
bookings,0
websites,-0.2359894386
b,0.171859375
widely,0
commerce,0.0001023864
key,0.125
deliberate,0.0195825
creek,0.0005195
quarter,0.222185
technological,0
exemptions,0
fortified,0
lessing,0.2360258333
leg,0.23231
current,0.016055625
tree,0.0598525
margin,0.21736375
melons,0.2310791667
fitted,0
court,0.0075510714
opportunity,0.0003739583
lowest,0
les,0.25
42nd,0
annually,0
wsj,0.25
dean,0.1680541667
keystrokes,0.2277616667
screen,0.1666675
required,0
bonds,0.25
hypponen,0
allow,-0.1281
secret,0
1774,0.25
jammed,0
urgently,0
labs,0.25
machines,-4.11956521738921E-005
answer,0.0048041176
outstanding,0
brownie,0.1707825
expect,0.0229325
wiesenthal,0.1809525
outreach,0.129195
governmental,0
little,0
romania,0.0226730298
christmas,-0.0153391667
abortive,0
adhere,0.15873
hari,-0.0524975
emigrated,-0.0194732143
09bn,0
characters,0.2492036111
uploaded,0.25
accelerating,0.0145394167
john,0.4616985
actors,0.0007395164
foyer,0.27797575
shake,0.1914975
upward,0
hotel,-0.2244326689
competition,0.05401
adidas,0.25
grass,0.1515775
fingers,0.25
painted,0
mikhail,0.25
really,-0.0034579167
eminent,0
theatre,-0.2344695353
officially,0
perished,0
fuss,0.155035
harassed,0
ills,0
deserved,0
thefirst,0
ordered,0
crop,0.1365075
accept,0.0060803571
metres,0.1962294841
months,-0.2094228125
40,-0.2416575
o,0.2229821667
bumper,0.2365860714
explain,-0.2280420833
virgil,0.2457758333
1,0
contrary,0.216825
episodes,0.25
retired,0
warned,0
needs,0
immediately,0
invariably,0
versa,0.25
cincinnati,0.434965625
pump,0.1835825
hosted,0
grammar,-0.2460764881
dinner,0.0197277381
always,0
sitting,0.221025
weather,0.1403175
fuck,0.22432125
women,-0.245609289
98,0
built,0
class,-0.0104870455
helicopter,-0.2267886419
rectifying,0.0215496429
ideal,-0.0093675
lilian,0.25
glass,0.21461875
broughton,0.25
head,0.3925725
populations,0.003511875
clinton,0.2213708333
worse,0.1980175
lap,0.19712
challenges,0.25
trilogy,-0.0429158333
400m,0.25
basquiat,0.25
male,-0.2442893939
chilcott,0.25
contacted,0
conducted,-0.0107133333
overlooking,0
support,0.010491
hand,0.2418308333
minute,0.2225383333
jones,0.2315991667
server,0.184625
october,0.2304797917
bumping,0
kick,0.03676
hesitant,0
oversee,0.0025475
trev,0.25
patented,0
feature,0.2165075
hier,0.25
accuse,-0.01205875
normal,0
awarded,0.0011450769
darker,0.2369691667
writing,0.0158184028
performer,-0.0012198077
equipment,-0.0014031522
1990s,-0.03125
glenmorangie,0.25
alleged,0
megawati,0.25
dedicated,0
quickly,0
attractive,0.0035867124
unpatched,0
heart,-0.0184581944
birmingham,0.2244672619
bittorrent,0
hamilton,0.459055
housed,0
sarah,0.2440158333
26,0.23742
fallen,0
riddell,0.25
embankment,-0.208495
eoc,0
ago,0
validation,0.2018625
gadget,0.0109810577
joshua,0.2435058333
vehicles,-0.2223058538
spokesman,0.0289821429
2006,0.25
conceded,0
fun,0.012983125
killer,0.241009375
ukraine,0.0028726193
revelation,0.2165891667
calculations,0.0310995833
perceptions,-0.21836175
expected,0
preach,0.0061876389
preview,0.2463295238
citizens,-0.29126125
boys,0.0050329375
rises,0
textbook,0.0103864286
lane,0.1429875
centre,0.23418
amazes,0
yeats,0.2462291667
uncles,0.0122265
circs,0
arrest,0.01860875
sustaining,0.25
partner,0.01393
affects,0
victims,0.25
athens,0.4321
verify,-0.0110816667
1989,-0.25
compromise,0.23148375
athletics,-2.71482649842059E-005
minidisc,0.25
impression,0.04443875
coudenberg,0.25
chivas,0.25
elegance,0.0167205556
passable,0
quantities,0.0056469444
600,0.25
science,-0.00514325
mutual,0
recycled,-0.2239775
shifting,0.026715
outdoor,0
59th,0.25
prostitution,-0.02340125
factor,0.0637925
audit,0.2134675
management,0.0224195161
experiences,0.0151279167
slipped,0
opera,0.0043748437
legs,0.1694075
noises,-0.0028067708
deputies,0.2378766667
muddied,0
competitiveness,0.210485
mccafferty,0.25
plot,0.0232166667
undermine,0.015745
forecaster,0.00204125
kenya,0.0049820833
rejects,0
advises,0
hill,0.20574
greater,0.23292375
authorities,-0.2484675682
polynesia,0.2435870833
visually,0
celebrate,-0.2218408333
service,-0.0345290476
opening,-0.2161629167
either,0
maria,0.2823625
leaking,0.2295725
fiasco,0.0299
positively,0
warrant,0.01519
2k,0.25
bankruptcy,0.18563
1994,0.153911
knee,0.4463308333
safer,0.035306
editors,0
odd,0
julie,0.25
peter,0.235350625
lashed,0
substantial,0
hometown,0.2381125
